property,version,outcome
bal-decr-onlyif-wd-reclaim,v1,P!
bal-decr-onlyif-wd-reclaim,v10,P!
bal-decr-onlyif-wd-reclaim,v11,P!
bal-decr-onlyif-wd-reclaim,v12,P!
bal-decr-onlyif-wd-reclaim,v13,N!
bal-decr-onlyif-wd-reclaim,v14,P!
bal-decr-onlyif-wd-reclaim,v15,P!
bal-decr-onlyif-wd-reclaim,v16,P!
bal-decr-onlyif-wd-reclaim,v17,P!
bal-decr-onlyif-wd-reclaim,v18,P!
bal-decr-onlyif-wd-reclaim,v19,P!
bal-decr-onlyif-wd-reclaim,v2,P!
bal-decr-onlyif-wd-reclaim,v3,P!
bal-decr-onlyif-wd-reclaim,v4,P!
bal-decr-onlyif-wd-reclaim,v5,P!
bal-decr-onlyif-wd-reclaim,v6,ERR
bal-decr-onlyif-wd-reclaim,v7,P!
bal-decr-onlyif-wd-reclaim,v8,P!
bal-decr-onlyif-wd-reclaim,v9,P!
donate-bal-inc,v1,P!
donate-bal-inc,v10,P!
donate-bal-inc,v11,P!
donate-bal-inc,v12,P!
donate-bal-inc,v13,P!
donate-bal-inc,v14,N!
donate-bal-inc,v15,P!
donate-bal-inc,v16,P!
donate-bal-inc,v17,P!
donate-bal-inc,v18,P!
donate-bal-inc,v19,P!
donate-bal-inc,v2,P!
donate-bal-inc,v3,P!
donate-bal-inc,v4,N!
donate-bal-inc,v5,P!
donate-bal-inc,v6,P!
donate-bal-inc,v7,P!
donate-bal-inc,v8,P!
donate-bal-inc,v9,N!
donate-not-dec-donation,v1,P!
donate-not-dec-donation,v10,P!
donate-not-dec-donation,v11,P!
donate-not-dec-donation,v12,P!
donate-not-dec-donation,v13,P!
donate-not-dec-donation,v14,N
donate-not-dec-donation,v15,P!
donate-not-dec-donation,v16,N!
donate-not-dec-donation,v17,P!
donate-not-dec-donation,v18,P!
donate-not-dec-donation,v19,P!
donate-not-dec-donation,v2,P!
donate-not-dec-donation,v3,P!
donate-not-dec-donation,v4,P!
donate-not-dec-donation,v5,P!
donate-not-dec-donation,v6,P!
donate-not-dec-donation,v7,P!
donate-not-dec-donation,v8,P!
donate-not-dec-donation,v9,P!
exists-unique-donation-change,v1,N!
exists-unique-donation-change,v10,N!
exists-unique-donation-change,v11,N!
exists-unique-donation-change,v12,N!
exists-unique-donation-change,v13,N!
exists-unique-donation-change,v14,N!
exists-unique-donation-change,v15,N!
exists-unique-donation-change,v16,N!
exists-unique-donation-change,v17,P!
exists-unique-donation-change,v18,N!
exists-unique-donation-change,v19,N!
exists-unique-donation-change,v2,N!
exists-unique-donation-change,v3,N!
exists-unique-donation-change,v4,N!
exists-unique-donation-change,v5,N!
exists-unique-donation-change,v6,N!
exists-unique-donation-change,v7,N!
exists-unique-donation-change,v8,N!
exists-unique-donation-change,v9,N!
msg-value-not-negative,v1,P!
msg-value-not-negative,v10,P!
msg-value-not-negative,v11,P!
msg-value-not-negative,v12,P!
msg-value-not-negative,v13,P!
msg-value-not-negative,v14,P!
msg-value-not-negative,v15,P!
msg-value-not-negative,v16,P!
msg-value-not-negative,v17,P!
msg-value-not-negative,v18,P!
msg-value-not-negative,v19,P!
msg-value-not-negative,v2,P!
msg-value-not-negative,v3,P!
msg-value-not-negative,v4,P!
msg-value-not-negative,v5,P!
msg-value-not-negative,v6,P!
msg-value-not-negative,v7,P!
msg-value-not-negative,v8,P!
msg-value-not-negative,v9,P!
no-deadlock,v1,N!
no-deadlock,v10,N!
no-deadlock,v11,N!
no-deadlock,v12,N!
no-deadlock,v13,N!
no-deadlock,v14,N!
no-deadlock,v15,N!
no-deadlock,v16,N!
no-deadlock,v17,N!
no-deadlock,v18,N!
no-deadlock,v19,N!
no-deadlock,v2,N!
no-deadlock,v3,N!
no-deadlock,v4,N!
no-deadlock,v5,N!
no-deadlock,v6,ERR
no-deadlock,v7,N!
no-deadlock,v8,N!
no-deadlock,v9,P!
no-donate-after-deadline,v1,P!
no-donate-after-deadline,v10,P!
no-donate-after-deadline,v11,P!
no-donate-after-deadline,v12,N!
no-donate-after-deadline,v13,N!
no-donate-after-deadline,v14,P!
no-donate-after-deadline,v15,P!
no-donate-after-deadline,v16,P!
no-donate-after-deadline,v17,P!
no-donate-after-deadline,v18,P!
no-donate-after-deadline,v19,P!
no-donate-after-deadline,v2,P!
no-donate-after-deadline,v3,P!
no-donate-after-deadline,v4,P!
no-donate-after-deadline,v5,P!
no-donate-after-deadline,v6,P!
no-donate-after-deadline,v7,P!
no-donate-after-deadline,v8,P!
no-donate-after-deadline,v9,P!
no-wd-if-no-goal,v1,P!
no-wd-if-no-goal,v10,P!
no-wd-if-no-goal,v11,P!
no-wd-if-no-goal,v12,P!
no-wd-if-no-goal,v13,P!
no-wd-if-no-goal,v14,P!
no-wd-if-no-goal,v15,P!
no-wd-if-no-goal,v16,P!
no-wd-if-no-goal,v17,P!
no-wd-if-no-goal,v18,P!
no-wd-if-no-goal,v19,P!
no-wd-if-no-goal,v2,P!
no-wd-if-no-goal,v3,P!
no-wd-if-no-goal,v4,P!
no-wd-if-no-goal,v5,N!
no-wd-if-no-goal,v6,ERR
no-wd-if-no-goal,v7,P!
no-wd-if-no-goal,v8,P!
no-wd-if-no-goal,v9,P!
reclaim-own-funds,v1,N!
reclaim-own-funds,v10,N!
reclaim-own-funds,v11,N!
reclaim-own-funds,v12,N!
reclaim-own-funds,v13,N!
reclaim-own-funds,v14,N!
reclaim-own-funds,v15,N!
reclaim-own-funds,v16,N!
