property,version,truth,footnote-md
auth-in-agree,v1,1,
auth-in-agree,v2,0,
auth-in-agree,v3,1,
auth-in-agree,v4,1,
auth-in-agree,v5,1,
auth-in-agree,v6,1,
auth-in-agree,v7,1,
auth-in-agree,v8,1,
auth-in-agree,v9,1,
dispute-if-agree,v1,1,
dispute-if-agree,v2,1,
dispute-if-agree,v3,1,
dispute-if-agree,v4,1,
dispute-if-agree,v5,1,
dispute-if-agree,v6,1,
dispute-if-agree,v7,1,
dispute-if-agree,v8,0,
dispute-if-agree,v9,1,
dispute-onlyif-agree,v1,1,
dispute-onlyif-agree,v2,1,
dispute-onlyif-agree,v3,1,
dispute-onlyif-agree,v4,1,
dispute-onlyif-agree,v5,1,
dispute-onlyif-agree,v6,1,
dispute-onlyif-agree,v7,0,
dispute-onlyif-agree,v8,1,
dispute-onlyif-agree,v9,1,
no-send-in-agree,v1,1,
no-send-in-agree,v2,0,
no-send-in-agree,v3,0,
no-send-in-agree,v4,1,
no-send-in-agree,v5,1,
no-send-in-agree,v6,1,
no-send-in-agree,v7,1,
no-send-in-agree,v8,1,
no-send-in-agree,v9,1,
auth-in-dispute,v1,1,
auth-in-dispute,v2,1,
auth-in-dispute,v3,1,
auth-in-dispute,v4,1,
auth-in-dispute,v5,1,
auth-in-dispute,v6,0,
auth-in-dispute,v7,1,
auth-in-dispute,v8,1,
auth-in-dispute,v9,1,
arbitrate-send,v1,1,
arbitrate-send,v2,1,
arbitrate-send,v3,1,
arbitrate-send,v4,1,
arbitrate-send,v5,0,
arbitrate-send,v6,1,
arbitrate-send,v7,1,
arbitrate-send,v8,1,
arbitrate-send,v9,1,
redeem-send,v1,1,
redeem-send,v2,1,
redeem-send,v3,1,
redeem-send,v4,1,
redeem-send,v5,1,
redeem-send,v6,1,
redeem-send,v7,1,
redeem-send,v8,1,
redeem-send,v9,0,
recipient-buyer-or-seller,v1,1,
recipient-buyer-or-seller,v2,1,
recipient-buyer-or-seller,v3,1,
recipient-buyer-or-seller,v4,0,
recipient-buyer-or-seller,v5,1,
recipient-buyer-or-seller,v6,1,
recipient-buyer-or-seller,v7,1,
recipient-buyer-or-seller,v8,1,
recipient-buyer-or-seller,v9,1,
