property,version,outcome
auth-in-agree,v1,P!
auth-in-agree,v2,N!
auth-in-agree,v3,N!
auth-in-agree,v4,P!
auth-in-agree,v5,P!
auth-in-agree,v6,P!
auth-in-agree,v7,P!
auth-in-dispute,v1,P!
auth-in-dispute,v2,P!
auth-in-dispute,v3,P!
auth-in-dispute,v4,P!
auth-in-dispute,v5,P!
auth-in-dispute,v6,N!
auth-in-dispute,v7,N!
dispute-onlyif-agree,v1,P!
dispute-onlyif-agree,v2,P!
dispute-onlyif-agree,v3,P!
dispute-onlyif-agree,v4,P!
dispute-onlyif-agree,v5,P!
dispute-onlyif-agree,v6,P!
dispute-onlyif-agree,v7,N!
no-send-in-agree,v1,P!
no-send-in-agree,v2,UNK
no-send-in-agree,v3,UNK
no-send-in-agree,v4,P!
no-send-in-agree,v5,P!
no-send-in-agree,v6,P!
no-send-in-agree,v7,P!
recipient-buyer-or-seller,v1,P!
recipient-buyer-or-seller,v2,P!
recipient-buyer-or-seller,v3,N!
recipient-buyer-or-seller,v4,N!
recipient-buyer-or-seller,v5,P!
recipient-buyer-or-seller,v6,N!
recipient-buyer-or-seller,v7,P!
